"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S790","2019-07-30 00:00:00","236.000","278.000","2.700","24.800","0.840","986.100","-99.000","13.500","9.900","283.000","","33.200","","22.300",""
"C0D590","2019-07-30 00:00:00","143.000","313.000","0.300","27.400","0.960","994.200","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.700",""
"C0U990","2019-07-30 00:00:00","31.000","272.000","0.700","27.800","0.830","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","25.700",""
"C0M700","2019-07-30 00:00:00","150.000","82.000","1.700","25.400","0.900","993.000","-99.000","2.000","-99.000","-99.000","-99.000","34.400","","23.600",""
"C0A970","2019-07-30 00:00:00","96.000","170.000","11.300","27.400","0.910","999.300","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","26.900",""
"CM0110","2019-07-30 00:00:00","7.000","208.000","0.700","29.100","0.800","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","26.500",""
"C0S940","2019-07-30 00:00:00","150.000","238.000","1.300","26.100","0.860","994.300","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","25.400",""
"C0X250","2019-07-30 00:00:00","33.000","0.000","0.000","28.300","0.910","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","26.000",""
"C0K520","2019-07-30 00:00:00","10.000","352.000","0.400","28.800","0.790","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","26.000",""
"C0Z200","2019-07-30 00:00:00","153.000","0.000","0.100","25.800","0.990","994.900","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","23.600",""
"C0V740","2019-07-30 00:00:00","60.000","19.000","0.800","26.400","0.950","1003.400","-99.000","1.500","-99.000","-99.000","-99.000","34.600","","24.800",""
"C0G860","2019-07-30 00:00:00","45.000","110.000","1.200","28.500","0.870","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","25.900",""
"C0F0A0","2019-07-30 00:00:00","3587.000","335.000","0.700","8.200","0.630","666.800","-99.000","0.000","-99.000","-99.000","-99.000","14.500","","5.000",""
"C0Z250","2019-07-30 00:00:00","1124.000","0.000","0.100","19.300","0.990","890.700","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","18.200",""
"C0K440","2019-07-30 00:00:00","35.000","0.000","0.000","28.600","0.870","1005.200","-99.000","0.500","-99.000","-99.000","-99.000","32.500","","25.600",""
"C0T900","2019-07-30 00:00:00","160.000","0.000","0.000","25.500","0.820","991.900","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","24.400",""
"C0F9V0","2019-07-30 00:00:00","525.000","0.000","0.100","25.200","0.910","952.500","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","22.600",""
"C0UA20","2019-07-30 00:00:00","2619.000","185.000","1.200","13.000","0.640","740.000","-99.000","0.000","-99.000","-99.000","-99.000","22.800","","11.700",""
"C0M850","2019-07-30 00:00:00","695.000","0.000","0.000","23.200","0.970","932.600","-99.000","0.500","-99.000","-99.000","-99.000","31.200","","20.900",""
"C0G790","2019-07-30 00:00:00","27.000","0.000","0.000","27.800","0.950","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","35.300","","25.400",""
"C0C620","2019-07-30 00:00:00","19.000","328.000","0.700","27.900","0.930","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.600",""
"C0I360","2019-07-30 00:00:00","300.000","31.000","2.700","25.900","0.910","975.000","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","24.700",""
"C0R370","2019-07-30 00:00:00","55.000","0.000","0.200","26.800","-99.000","1004.900","-99.000","2.000","-99.000","-99.000","-99.000","30.500","","23.900",""
"C0M810","2019-07-30 00:00:00","1354.000","207.000","0.600","19.700","0.920","865.700","-99.000","0.000","-99.000","-99.000","-99.000","25.000","","18.900",""
"C0AC80","2019-07-30 00:00:00","40.000","0.000","0.000","27.000","0.880","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","24.900",""
"CM0140","2019-07-30 00:00:00","26.000","289.000","1.000","28.500","0.750","1009.200","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","26.600",""
"C0SA20","2019-07-30 00:00:00","857.000","354.000","2.400","22.000","1.000","917.800","-99.000","10.500","-99.000","-99.000","-99.000","25.800","","19.900",""
"C0K490","2019-07-30 00:00:00","91.000","92.000","1.300","26.000","0.930","998.500","-99.000","7.500","-99.000","-99.000","-99.000","34.400","","24.300",""
"C0V820","2019-07-30 00:00:00","441.000","14.000","1.000","23.600","0.960","962.700","-99.000","0.500","-99.000","-99.000","-99.000","32.400","","21.900",""
"C0S810","2019-07-30 00:00:00","65.000","332.000","2.600","25.800","0.920","1006.200","-99.000","3.500","-99.000","-99.000","-99.000","33.300","","24.900",""
"C0R580","2019-07-30 00:00:00","10.000","136.000","1.600","27.800","1.000","1007.700","-99.000","0.500","-99.000","-99.000","-99.000","34.300","","25.800",""
"C0Z330","2019-07-30 00:00:00","488.000","0.000","0.100","24.100","0.840","959.100","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","22.600",""
"C0E590","2019-07-30 00:00:00","40.000","352.000","0.300","26.700","1.000","1003.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.600",""
"C0D540","2019-07-30 00:00:00","227.000","0.000","0.000","25.800","0.940","984.700","-99.000","0.500","-99.000","-99.000","-99.000","32.600","","22.700",""
"C0K420","2019-07-30 00:00:00","42.000","45.000","0.300","28.000","0.860","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","25.200",""
"C0Z180","2019-07-30 00:00:00","34.000","0.000","0.200","27.600","0.820","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","25.400",""
"C0AD10","2019-07-30 00:00:00","27.000","259.000","1.300","29.800","0.760","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","27.800",""
"C0M720","2019-07-30 00:00:00","225.000","135.000","0.600","26.000","0.860","983.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","23.900",""
"C0V450","2019-07-30 00:00:00","51.000","221.000","0.600","27.900","0.990","1003.100","-99.000","0.500","-99.000","-99.000","-99.000","34.200","","25.300",""
"C0R280","2019-07-30 00:00:00","242.000","57.000","0.900","24.500","-99.000","982.600","-99.000","30.000","-99.000","-99.000","-99.000","28.000","","23.100",""
"C0E610","2019-07-30 00:00:00","850.000","0.000","0.000","23.200","0.870","918.000","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","21.400",""
"C0V610","2019-07-30 00:00:00","22.000","145.000","1.500","29.500","0.780","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","26.500",""
"C0Z310","2019-07-30 00:00:00","59.000","7.000","0.700","27.500","0.950","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","25.200",""
"C0S700","2019-07-30 00:00:00","507.000","211.000","0.800","23.900","0.970","956.600","-99.000","6.500","-99.000","-99.000","-99.000","30.000","","22.000",""
"C0T9G0","2019-07-30 00:00:00","605.000","235.000","0.600","23.600","0.990","946.700","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","22.500",""
"C0U520","2019-07-30 00:00:00","517.000","224.000","0.600","23.300","0.990","955.300","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","21.300",""
"C0E750","2019-07-30 00:00:00","62.000","183.000","0.300","28.300","0.850","1001.100","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","24.900",""
"C0R400","2019-07-30 00:00:00","15.000","61.000","1.400","27.500","-99.000","1007.800","-99.000","27.000","-99.000","-99.000","-99.000","32.600","","24.300",""
"C0W140","2019-07-30 00:00:00","21.000","180.000","0.300","27.600","0.910","1007.800","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","26.300",""
"C0U720","2019-07-30 00:00:00","1260.000","246.000","0.700","21.300","0.930","886.900","-99.000","0.000","-99.000","-99.000","-99.000","27.700","","18.700",""
"C0X150","2019-07-30 00:00:00","18.000","150.000","1.200","29.000","1.000","1008.200","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","26.200",""
"C0Z050","2019-07-30 00:00:00","830.000","0.000","0.100","21.900","0.840","922.900","-99.000","0.000","-99.000","-99.000","-99.000","28.400","","20.400",""
"C0I490","2019-07-30 00:00:00","1601.000","139.000","1.000","18.700","0.990","842.100","-99.000","0.000","-99.000","-99.000","-99.000","27.900","","17.100",""
"C0I090","2019-07-30 00:00:00","910.000","158.000","0.600","22.400","0.960","911.600","-99.000","0.500","-99.000","-99.000","-99.000","28.300","","20.900",""
"C0X240","2019-07-30 00:00:00","394.000","178.000","0.500","23.900","0.910","966.300","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","22.400",""
"C0S990","2019-07-30 00:00:00","409.000","4.000","3.100","23.600","0.940","966.100","-99.000","16.500","-99.000","-99.000","-99.000","28.400","","22.400",""
"C0E850","2019-07-30 00:00:00","104.000","15.000","0.300","26.100","0.960","996.900","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.100",""
"C0T9B0","2019-07-30 00:00:00","558.000","0.000","0.000","23.600","0.940","950.700","-99.000","0.000","-99.000","-99.000","-99.000","29.400","","22.700",""
"C0G650","2019-07-30 00:00:00","34.000","148.000","0.600","27.800","0.990","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","25.000",""
"C0K580","2019-07-30 00:00:00","26.000","0.000","0.000","27.300","0.900","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","24.900",""
